Name,ProjectedFP,flag,IDfg,flag_value
Edouard Julien,111.71414902678274,Low projected PA/IP (injury/role concern),—,253.973
Andrew McCutchen,111.23924027719673,Age 40 — heightened decline risk,,39.5
Andrew McCutchen,111.23924027719673,Low projected PA/IP (injury/role concern),—,141.491
Max Muncy,111.0796348732,Low projected PA/IP (injury/role concern),—,284.377
Reese Olson,109.98661214632668,Low projected PA/IP (injury/role concern),—,68.2
Michael Soroka,109.83699890800003,Low projected PA/IP (injury/role concern),—,89.2
Tanner Scott,109.76619833333334,Low projected PA/IP (injury/role concern),—,57.0
Kyle Higashioka,109.53296118645534,Age 36 — heightened decline risk,,35.9
Cole Sands,109.329598976,Low projected PA/IP (injury/role concern),—,72.0
Tyler Fitzgerald,108.61601672365073,Low projected PA/IP (injury/role concern),—,37.3125
Heriberto Hernandez,108.58426940516101,Low projected PA/IP (injury/role concern),—,174.718
Robert Hassell III,108.576098926078,Low projected PA/IP (injury/role concern),—,299.202
Emmet Sheehan,108.36558426666664,Low projected PA/IP (injury/role concern),—,73.1
Kyle Leahy,107.73621196799999,Low projected PA/IP (injury/role concern),—,88.0
Jason Adam,107.60310620695999,Low projected PA/IP (injury/role concern),—,65.1
Nathaniel Lowe,107.42621449003249,Low projected PA/IP (injury/role concern),—,143.305
Abner Uribe,107.35868066848886,Low projected PA/IP (injury/role concern),—,75.1
Ryan Helsley,107.24758109333335,Low projected PA/IP (injury/role concern),—,56.0
Emmanuel Clase,107.06987090000001,Low projected PA/IP (injury/role concern),—,47.1
Cameron Schlittler,107.06228666666667,Low projected PA/IP (injury/role concern),—,73.0
Griffin Jax,106.29446945333333,Low projected PA/IP (injury/role concern),—,66.0
Pete Fairbanks,106.2359709426667,Low projected PA/IP (injury/role concern),—,60.1
Garrett Whitlock,105.84218419199999,Low projected PA/IP (injury/role concern),—,72.0
Luke Weaver,105.57351337866669,Low projected PA/IP (injury/role concern),—,64.2
Alex Call,104.80739536466774,Low projected PA/IP (injury/role concern),—,136.0
Paul Goldschmidt,104.37252604998105,Age 39 — heightened decline risk,,38.6
Paul Goldschmidt,104.37252604998105,Low projected PA/IP (injury/role concern),—,144.398
Ryan Ritter,104.35791466898249,Low projected PA/IP (injury/role concern),—,230.123
Kyle Finnegan,104.27256480666665,Low projected PA/IP (injury/role concern),—,57.0
Yu Darvish,103.92544181760002,Low projected PA/IP (injury/role concern),—,72.0
Yu Darvish,103.92544181760002,Age 40 — heightened decline risk,,39.6
Tylor Megill,103.82418416754999,Low projected PA/IP (injury/role concern),—,68.1
Jimmy Herget,103.20183261483331,Low projected PA/IP (injury/role concern),—,83.1
Reid Detmers,102.69549974990223,Low projected PA/IP (injury/role concern),—,63.2
Colton Gordon,102.33504468,Low projected PA/IP (injury/role concern),—,86.0
Ben Casparius,102.32573159111112,Low projected PA/IP (injury/role concern),—,77.2
Emilio Pagan,101.49403998008002,Low projected PA/IP (injury/role concern),—,68.2
Luis Gil,101.21397786666668,Low projected PA/IP (injury/role concern),—,57.0
German Marquez,99.93471303219442,Low projected PA/IP (injury/role concern),—,126.1
Pavin Smith,99.73250163627495,Low projected PA/IP (injury/role concern),—,288.32
