playerid,PA
19859.0,14.0356
11615.0,16.0177
17837.0,4.95516
19806.0,7.97176
22411.0,7.76598
25805.0,18.2587
19698.0,18.2958
18353.0,14.7145
19293.0,20.1396
24765.0,3.6616
27573.0,15.7172
18217.0,46.9797
12510.0,5.8799
27931.0,45.1567
13602.0,28.0656
19358.0,10.4439
23296.0,11.7436
14593.0,9.13305
26149.0,39.967
14477.0,23.1075
11038.0,12.0693
20003.0,7.72764
27604.0,19.0533
19294.0,3.17322
15464.0,16.2555
18889.0,7.58552
19458.0,6.27121
17684.0,15.9813
14130.0,9.82011
21987.0,4.58236
19292.0,10.8104
16357.0,13.3324
19864.0,49.0825
25575.0,13.1485
19314.0,6.9523
21730.0,4.19578
18083.0,1.63393
20626.0,1.4341
23794.0,3.9159
25967.0,60.0272
14894.0,4.1677
24622.0,2.54391
21386.0,2.12463
15172.0,13.2948
16398.0,1.76277
25688.0,9.26131
19563.0,2.42299
24388.0,2.04888
18032.0,1.0
10059.0,1.0
19952.0,1.0
18206.0,1.0
31490.0,1.0
18288.0,1.0
16451.0,13.352
22164.0,1.0
24655.0,11.3297
7226.0,1.0
12547.0,1.0
20450.0,11.7551
28344.0,14.8453
13265.0,1.0
16680.0,1.0
10655.0,1.10863
18721.0,1.0
22202.0,1.0
16403.0,3.00919
19553.0,1.77538
10200.0,5.77307
10348.0,1.0
23985.0,1.0
15487.0,1.0
19181.0,1.0
22842.0,7.79667
21139.0,1.0
23378.0,5.29254
19331.0,1.0
13151.0,1.0
16285.0,1.0
15519.0,1.0
13807.0,1.0
21127.0,1.0
18027.0,3.40759
12944.0,1.0
11281.0,1.03918
12977.0,1.0
14811.0,1.0
20233.0,1.0
14691.0,1.99404
14942.0,4.72431
12282.0,1.0
29614.0,1.81792
21304.0,1.0
29487.0,45.3717
12174.0,1.0
4106.0,1.0
22254.0,1.59583
19625.0,1.0
10323.0,5.20567
13854.0,1.0
20970.0,10.1069
10711.0,1.0
20022.0,1.0
16429.0,1.0
5038.0,1.0
14388.0,1.0
19727.0,1.0
14773.0,1.0
17932.0,1.0
10028.0,7.86817
12180.0,1.0
16219.0,10.9267
13338.0,9.38008
19635.0,1.0
20501.0,1.0
19958.0,1.83789
21634.0,1.0
19842.0,1.0
17161.0,1.0
17922.0,1.0
3917.0,1.0
12532.0,1.0
7168.0,1.0
19977.0,1.0
16925.0,2.78824
15817.0,1.0
17321.0,1.96486
15941.0,1.0
23312.0,18.5006
18718.0,1.0
6153.0,1.0
25980.0,45.2509
15055.0,16.7851
21547.0,1.0
19245.0,1.0
19873.0,1.0
13768.0,9.17204
20311.0,16.3257
13788.0,1.0
14412.0,1.0
18905.0,1.0
17910.0,1.0
5933.0,1.0
24400.0,1.59851
22906.0,1.0
25482.0,1.0
17723.0,1.0
19508.0,1.0
25425.0,14.6768
15170.0,1.0
14566.0,1.0
14145.0,1.0
14225.0,1.0
15191.0,1.0
19369.0,1.0
14446.0,1.0
